Date,Price,Open,High,Low,Vol.,Change %
8-Jul-15,17515.42,17759.01,17759.01,17496.22,69.83M,-1.47%
7-Jul-15,17776.91,17684.92,17793.45,17465.68,105.84M,0.53%
6-Jul-15,17683.58,17728.08,17734.36,17564.36,90.13M,-0.26%
2-Jul-15,17730.11,17763.32,17825.49,17687.52,83.10M,-0.16%
1-Jul-15,17757.91,17638.12,17801.83,17638.12,87.01M,0.79%
30-Jun-15,17619.51,17599.96,17714.66,17576.5,126.46M,0.13%
29-Jun-15,17596.35,17936.74,17936.74,17590.55,116.34M,-1.95%
26-Jun-15,17946.68,17892.03,18013.15,17892.03,158.12M,0.31%
25-Jun-15,17890.36,17977.11,18036.1,17890.36,78.99M,-0.42%
24-Jun-15,17966.07,18139.1,18139.1,17966.07,104.98M,-0.98%
23-Jun-15,18144.07,18121.78,18188.81,18108.1,75.97M,0.13%
22-Jun-15,18119.78,18027.63,18181.67,18027.63,77.78M,0.58%
19-Jun-15,18015.95,18116.24,18117.71,18010.58,258.30M,-0.55%
18-Jun-15,18115.84,17944.61,18174.73,17944.61,94.46M,1.00%
17-Jun-15,17935.74,17909.58,17998,17839.65,92.41M,0.17%
16-Jun-15,17904.48,17787.43,17919.62,17774.12,77.51M,0.64%
15-Jun-15,17791.17,17890.76,17890.76,17698.42,91.92M,-0.60%
12-Jun-15,17898.84,18035.83,18035.83,17857.07,83.76M,-0.78%
11-Jun-15,18039.37,18001.27,18109.77,18001.27,89.49M,0.22%
10-Jun-15,18000.4,17765.38,18045.14,17765.38,96.98M,1.33%
9-Jun-15,17764.04,17766.95,17817.83,17714.97,90.55M,-0.01%
8-Jun-15,17766.55,17849.46,17852.35,17760.61,86.30M,-0.46%
5-Jun-15,17849.46,17905.38,17940.78,17822.9,89.14M,-0.31%
4-Jun-15,17905.58,18072.47,18087.15,17876.95,93.47M,-0.94%
3-Jun-15,18076.27,18018.42,18168.09,18010.42,73.12M,0.36%
2-Jun-15,18011.94,18033.33,18091.87,17925.33,77.55M,-0.16%
1-Jun-15,18040.37,18017.82,18105.83,17982.06,85.64M,0.16%
29-May-15,18010.68,18128.12,18128.12,17967.74,139.81M,-0.64%
28-May-15,18126.12,18154.14,18154.14,18066.4,67.52M,-0.20%
27-May-15,18162.99,18045.08,18190.35,18045.08,96.40M,0.67%
26-May-15,18041.54,18229.75,18229.75,17990.02,109.44M,-1.04%
22-May-15,18232.02,18286.87,18286.87,18217.14,78.89M,-0.29%
21-May-15,18285.74,18285.87,18314.89,18249.9,84.27M,0.00%
20-May-15,18285.4,18315.06,18350.13,18272.56,80.19M,-0.15%
19-May-15,18312.39,18300.48,18351.36,18261.35,87.20M,0.07%
18-May-15,18298.88,18267.25,18325.54,18244.26,79.08M,0.14%
15-May-15,18272.56,18251.97,18272.72,18215.07,108.22M,0.11%
14-May-15,18252.24,18062.49,18255.21,18062.49,91.58M,1.06%
13-May-15,18060.49,18070.37,18132.79,18039.2,85.18M,-0.04%
12-May-15,18068.23,18096.16,18119.18,17924.8,89.27M,-0.20%
11-May-15,18105.17,18187.78,18199.95,18089.11,86.05M,-0.47%
8-May-15,18191.11,17933.64,18205.23,17933.64,94.96M,1.49%
7-May-15,17924.06,17840.25,17973.07,17796.94,80.92M,0.46%
6-May-15,17841.98,17934.81,18019.75,17733.12,100.43M,-0.48%
5-May-15,17928.2,18062.53,18086.01,17905.71,95.34M,-0.79%
4-May-15,18070.4,18026.02,18133.76,18026.02,86.01M,0.26%
1-May-15,18024.06,17859.27,18028.89,17859.27,91.70M,1.03%
30-Apr-15,17840.52,18033.33,18033.33,17774.89,129.21M,-1.08%
29-Apr-15,18035.53,18093.69,18096.46,17953.69,102.08M,-0.41%
28-Apr-15,18110.14,18035.9,18119.65,17917.36,124.93M,0.40%
27-Apr-15,18037.97,18097.89,18175.56,18024.66,121.11M,-0.23%
24-Apr-15,18080.14,18056.42,18108.87,18009.08,119.13M,0.12%
23-Apr-15,18058.69,18031.9,18133.03,17966.77,100.24M,0.11%
22-Apr-15,18038.27,17950.82,18056.02,17887.76,91.26M,0.49%
21-Apr-15,17949.59,18034.23,18109.7,17929.63,95.18M,-0.47%
20-Apr-15,18034.93,17841.18,18092.22,17841.18,103.16M,1.17%
17-Apr-15,17826.3,18102.56,18102.56,17748.53,138.86M,-1.54%
16-Apr-15,18105.77,18106.27,18169.26,18063.86,89.52M,-0.04%
15-Apr-15,18112.61,18045.71,18160.52,18045.71,113.61M,0.42%
14-Apr-15,18036.7,17979.11,18075.6,17905.48,82.83M,0.33%
13-Apr-15,17977.04,18052.32,18107.57,17974.81,120.09M,-0.45%
10-Apr-15,18057.65,17956.73,18066.76,17945.55,116.41M,0.55%
9-Apr-15,17958.73,17897.7,17984.22,17823.1,86.74M,0.31%
